INV_ID	tool	original_filename	gallery_path
INV1	Bamsnap-LRS	inversion_chr1_146501742_146528918.png	assets/INV/bamsnap-lrs/INV1_20260919-inv-v1.png
INV1	SVhawkeye	chr1_146503742_146526918.e2000.png	assets/INV/svhawkeye/INV1_20260919-inv-v1.png
INV1	Wally	INV1.png	assets/INV/wally/INV1_20260919-inv-v1.png
INV2	Bamsnap-LRS	inversion_chr1_148939962_149002121.png	assets/INV/bamsnap-lrs/INV2_20260919-inv-v1.png
INV2	SVhawkeye	chr1_148941962_149000121.e2000.png	assets/INV/svhawkeye/INV2_20260919-inv-v1.png
INV2	Wally	INV2.png	assets/INV/wally/INV2_20260919-inv-v1.png
INV3	Bamsnap-LRS	inversion_chr1_197045047_197050246.png	assets/INV/bamsnap-lrs/INV3_20260919-inv-v1.png
INV3	SVhawkeye	chr1_197047047_197048246.e2000.png	assets/INV/svhawkeye/INV3_20260919-inv-v1.png
INV3	Wally	INV3.png	assets/INV/wally/INV3_20260919-inv-v1.png
INV4	Bamsnap-LRS	inversion_chr10_37132593_37147810.png	assets/INV/bamsnap-lrs/INV4_20260919-inv-v1.png
INV4	SVhawkeye	chr10_37134593_37145810.e2000.png	assets/INV/svhawkeye/INV4_20260919-inv-v1.png
INV4	Wally	INV4.png	assets/INV/wally/INV4_20260919-inv-v1.png
INV5	Bamsnap-LRS	inversion_chr10_74527390_74533557.png	assets/INV/bamsnap-lrs/INV5_20260919-inv-v1.png
INV5	SVhawkeye	chr10_74529390_74531557.e2000.png	assets/INV/svhawkeye/INV5_20260919-inv-v1.png
INV5	Wally	INV5.png	assets/INV/wally/INV5_20260919-inv-v1.png
INV6	Bamsnap-LRS	inversion_chr11_349288_363267.png	assets/INV/bamsnap-lrs/INV6_20260919-inv-v1.png
INV6	SVhawkeye	chr11_351288_361267.e2000.png	assets/INV/svhawkeye/INV6_20260919-inv-v1.png
INV6	Wally	INV6.png	assets/INV/wally/INV6_20260919-inv-v1.png
INV7	Bamsnap-LRS	inversion_chr11_66243320_66248104.png	assets/INV/bamsnap-lrs/INV7_20260919-inv-v1.png
INV7	SVhawkeye	chr11_66245320_66246104.e2000.png	assets/INV/svhawkeye/INV7_20260919-inv-v1.png
INV7	Wally	INV7.png	assets/INV/wally/INV7_20260919-inv-v1.png
INV8	Bamsnap-LRS	inversion_chr14_28737411_28760463.png	assets/INV/bamsnap-lrs/INV8_20260919-inv-v1.png
INV8	SVhawkeye	chr14_28739411_28758463.e2000.png	assets/INV/svhawkeye/INV8_20260919-inv-v1.png
INV8	Wally	INV8.png	assets/INV/wally/INV8_20260919-inv-v1.png
INV9	Bamsnap-LRS	inversion_chr14_54808983_54821699.png	assets/INV/bamsnap-lrs/INV9_20260919-inv-v1.png
INV9	SVhawkeye	chr14_54810983_54819699.e2000.png	assets/INV/svhawkeye/INV9_20260919-inv-v1.png
INV9	Wally	INV9.png	assets/INV/wally/INV9_20260919-inv-v1.png
INV10	Bamsnap-LRS	inversion_chr16_81249612_81272823.png	assets/INV/bamsnap-lrs/INV10_20260919-inv-v1.png
INV10	SVhawkeye	chr16_81251612_81270823.e2000.png	assets/INV/svhawkeye/INV10_20260919-inv-v1.png
INV10	Wally	INV10.png	assets/INV/wally/INV10_20260919-inv-v1.png
INV11	Bamsnap-LRS	inversion_chr16_91219193_91224304.png	assets/INV/bamsnap-lrs/INV11_20260919-inv-v1.png
INV11	SVhawkeye	chr16_91221193_91222304.e2000.png	assets/INV/svhawkeye/INV11_20260919-inv-v1.png
INV11	Wally	INV11.png	assets/INV/wally/INV11_20260919-inv-v1.png
INV12	Bamsnap-LRS	inversion_chr17_31559111_31577675.png	assets/INV/bamsnap-lrs/INV12_20260919-inv-v1.png
INV12	SVhawkeye	chr17_31561111_31575675.e2000.png	assets/INV/svhawkeye/INV12_20260919-inv-v1.png
INV12	Wally	INV12.png	assets/INV/wally/INV12_20260919-inv-v1.png
INV13	Bamsnap-LRS	inversion_chr2_138690471_138699424.png	assets/INV/bamsnap-lrs/INV13_20260919-inv-v1.png
INV13	SVhawkeye	chr2_138692471_138697424.e2000.png	assets/INV/svhawkeye/INV13_20260919-inv-v1.png
INV13	Wally	INV13.png	assets/INV/wally/INV13_20260919-inv-v1.png
INV14	Bamsnap-LRS	inversion_chr2_241169220_241199267.png	assets/INV/bamsnap-lrs/INV14_20260919-inv-v1.png
INV14	SVhawkeye	chr2_241171220_241197267.e2000.png	assets/INV/svhawkeye/INV14_20260919-inv-v1.png
INV14	Wally	INV14.png	assets/INV/wally/INV14_20260919-inv-v1.png
INV15	Bamsnap-LRS	inversion_chr20_10848376_10853830.png	assets/INV/bamsnap-lrs/INV15_20260919-inv-v1.png
INV15	SVhawkeye	chr20_10850376_10851830.e2000.png	assets/INV/svhawkeye/INV15_20260919-inv-v1.png
INV15	Wally	INV15.png	assets/INV/wally/INV15_20260919-inv-v1.png
INV16	Bamsnap-LRS	inversion_chr21_25004432_25009470.png	assets/INV/bamsnap-lrs/INV16_20260919-inv-v1.png
INV16	SVhawkeye	chr21_25006432_25007470.e2000.png	assets/INV/svhawkeye/INV16_20260919-inv-v1.png
INV16	Wally	INV16.png	assets/INV/wally/INV16_20260919-inv-v1.png
INV17	Bamsnap-LRS	inversion_chr5_17508287_17584034.png	assets/INV/bamsnap-lrs/INV17_20260919-inv-v1.png
INV17	SVhawkeye	chr5_17510287_17582034.e2000.png	assets/INV/svhawkeye/INV17_20260919-inv-v1.png
INV17	Wally	INV17.png	assets/INV/wally/INV17_20260919-inv-v1.png
INV18	Bamsnap-LRS	inversion_chr5_65284159_65304013.png	assets/INV/bamsnap-lrs/INV18_20260919-inv-v1.png
INV18	SVhawkeye	chr5_65286159_65302013.e2000.png	assets/INV/svhawkeye/INV18_20260919-inv-v1.png
INV18	Wally	INV18.png	assets/INV/wally/INV18_20260919-inv-v1.png
INV19	Bamsnap-LRS	inversion_chr5_70534702_70604143.png	assets/INV/bamsnap-lrs/INV19_20260919-inv-v1.png
INV19	SVhawkeye	chr5_70536702_70602143.e2000.png	assets/INV/svhawkeye/INV19_20260919-inv-v1.png
INV19	Wally	INV19.png	assets/INV/wally/INV19_20260919-inv-v1.png
INV20	Bamsnap-LRS	inversion_chr6_131719833_131728102.png	assets/INV/bamsnap-lrs/INV20_20260919-inv-v1.png
INV20	SVhawkeye	chr6_131721833_131726102.e2000.png	assets/INV/svhawkeye/INV20_20260919-inv-v1.png
INV20	Wally	INV20.png	assets/INV/wally/INV20_20260919-inv-v1.png
INV21	Bamsnap-LRS	inversion_chr7_40995526_41000660.png	assets/INV/bamsnap-lrs/INV21_20260919-inv-v1.png
INV21	SVhawkeye	chr7_40997526_40998660.e2000.png	assets/INV/svhawkeye/INV21_20260919-inv-v1.png
INV21	Wally	INV21.png	assets/INV/wally/INV21_20260919-inv-v1.png
INV22	Bamsnap-LRS	inversion_chr8_112189466_112194355.png	assets/INV/bamsnap-lrs/INV22_20260919-inv-v1.png
INV22	SVhawkeye	chr8_112191466_112192355.e2000.png	assets/INV/svhawkeye/INV22_20260919-inv-v1.png
INV22	Wally	INV22.png	assets/INV/wally/INV22_20260919-inv-v1.png
